item_code,name_vn,category_main,category_sub,size,volume_ml,price_sell_vnd,status,note
DR-TH-001-M,Trà chanh,Drinks,Trà hoa quả,M,500,15000,ACTIVE,Best seller
DR-TH-001-L,Trà chanh,Drinks,Trà hoa quả,L,700,20000,ACTIVE,
DR-TH-002-M,Trà chanh/quất truyền thống,Drinks,Trà hoa quả,M,500,15000,ACTIVE,Đổi chanh sang quất
DR-TH-002-L,Trà chanh/quất truyền thống,Drinks,Trà hoa quả,L,700,20000,ACTIVE,
DR-TH-003-M,Trà chanh leo,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-003-L,Trà chanh leo,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-004-M,Trà chanh dứa,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-004-L,Trà chanh dứa,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-005-M,Trà chanh sả,Drinks,Trà hoa quả,M,500,25000,ACTIVE,Giã 2 củ sả
DR-TH-005-L,Trà chanh sả,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-006-M,Trà chanh xí muội,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-006-L,Trà chanh xí muội,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-007-M,Trà chanh đào,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-007-L,Trà chanh đào,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-008-M,Trà chanh việt quất,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-008-L,Trà chanh việt quất,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-009-M,Trà chanh bạc hà,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-009-L,Trà chanh bạc hà,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-010-M,Trà xoài chanh leo,Drinks,Trà hoa quả,M,500,30000,ACTIVE,
DR-TH-010-L,Trà xoài chanh leo,Drinks,Trà hoa quả,L,700,35000,ACTIVE,
DR-TH-011-M,Trà hoa quả nhiệt đới,Drinks,Trà hoa quả,M,500,30000,ACTIVE,Cam + quất + dưa hấu
DR-TH-011-L,Trà hoa quả nhiệt đới,Drinks,Trà hoa quả,L,700,35000,ACTIVE,
DR-TH-012-M,Trà đào,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-012-L,Trà đào,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-013-M,Trà táo xanh bạc hà,Drinks,Trà hoa quả,M,500,30000,ACTIVE,
DR-TH-013-L,Trà táo xanh bạc hà,Drinks,Trà hoa quả,L,700,35000,ACTIVE,
DR-TH-014-M,Trà cam mật ong,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-014-L,Trà cam mật ong,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-015-M,Trà dưa hấu nhiệt đới,Drinks,Trà hoa quả,M,500,30000,ACTIVE,
DR-TH-015-L,Trà dưa hấu nhiệt đới,Drinks,Trà hoa quả,L,700,35000,ACTIVE,
DR-TH-016-M,Nước ép vải đào,Drinks,Trà hoa quả,M,500,25000,ACTIVE,
DR-TH-016-L,Nước ép vải đào,Drinks,Trà hoa quả,L,700,30000,ACTIVE,
DR-TH-017,Nước cam,Drinks,Trà hoa quả,M,500,30000,ACTIVE,Single size
DR-TH-018,Nước chanh leo,Drinks,Trà hoa quả,M,500,25000,ACTIVE,Single size
DR-TH-019,Nước ép dưa hấu,Drinks,Trà hoa quả,M,500,30000,ACTIVE,Single size
DR-TH-020-M,Trà gừng cam sả,Drinks,Trà hoa quả,M,500,30000,ACTIVE,Có thể uống nóng
DR-TH-020-L,Trà gừng cam sả,Drinks,Trà hoa quả,L,700,35000,ACTIVE,
DR-TH-021-M,Cacao/socola nóng,Drinks,Trà hoa quả,M,300,25000,ACTIVE,Đồ uống nóng
